id,code,description
40003,Y84.9,Medical procedure and unspecified as the cause of abnormal reaction of the patient and or of later complication and without mention of misadventure at the time of the procedure
40004,Y90,Evidence of alcohol involvement determined by blood alcohol level
40005,Y90.9,Presence of alcohol in blood and level not specified
40006,Y92,Place of occurrence of the external cause
40007,Y92.0,Non-institutional (private) residence as the place of occurrence of the external cause
40008,Y92.00,Unspecified non-institutional (private) residence as the place of occurrence of the external cause
40009,Y92.000,Kitchen of unspecified non-institutional (private) residence as the place of occurrence of the external cause
40010,Y92.001,Dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause
40011,Y92.002,Bathroom of unspecified non-institutional (private) residence single-family (private) house as the place of occurrence of the external cause
40012,Y92.003,Bedroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
40013,Y92.007,Garden or yard of unspecified non-institutional (private) residence as the place of occurrence of the external cause
40014,Y92.008,Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
40015,Y92.009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
40016,Y92.01,Single-family non-institutional (private) house as the place of occurrence of the external cause
40017,Y92.010,Kitchen of single-family (private) house as the place of occurrence of the external cause
40018,Y92.011,Dining room of single-family (private) house as the place of occurrence of the external cause
40019,Y92.012,Bathroom of single-family (private) house as the place of occurrence of the external cause
40020,Y92.013,Bedroom of single-family (private) house as the place of occurrence of the external cause
40021,Y92.014,Private driveway to single-family (private) house as the place of occurrence of the external cause
40022,Y92.015,Private garage of single-family (private) house as the place of occurrence of the external cause
40023,Y92.016,Swimming-pool in single-family (private) house or garden as the place of occurrence of the external cause
40024,Y92.017,Garden or yard in single-family (private) house as the place of occurrence of the external cause
40025,Y92.018,Other place in single-family (private) house as the place of occurrence of the external cause
40026,Y92.019,Unspecified place in single-family (private) house as the place of occurrence of the external cause
40027,Y92.02,Mobile home as the place of occurrence of the external cause
40028,Y92.020,Kitchen in mobile home as the place of occurrence of the external cause
40029,Y92.021,Dining room in mobile home as the place of occurrence of the external cause
40030,Y92.022,Bathroom in mobile home as the place of occurrence of the external cause
40031,Y92.023,Bedroom in mobile home as the place of occurrence of the external cause
40032,Y92.024,Driveway of mobile home as the place of occurrence of the external cause
40033,Y92.025,Garage of mobile home as the place of occurrence of the external cause
40034,Y92.026,Swimming-pool of mobile home as the place of occurrence of the external cause
40035,Y92.027,Garden or yard of mobile home as the place of occurrence of the external cause
40036,Y92.028,Other place in mobile home as the place of occurrence of the external cause
40037,Y92.029,Unspecified place in mobile home as the place of occurrence of the external cause
40038,Y92.03,Apartment as the place of occurrence of the external cause
40039,Y92.030,Kitchen in apartment as the place of occurrence of the external cause
40040,Y92.031,Bathroom in apartment as the place of occurrence of the external cause
40041,Y92.032,Bedroom in apartment as the place of occurrence of the external cause
40042,Y92.038,Other place in apartment as the place of occurrence of the external cause
40043,Y92.039,Unspecified place in apartment as the place of occurrence of the external cause
40044,Y92.04,Boarding-house as the place of occurrence of the external cause
40045,Y92.040,Kitchen in boarding-house as the place of occurrence of the external cause
40046,Y92.041,Bathroom in boarding-house as the place of occurrence of the external cause
40047,Y92.042,Bedroom in boarding-house as the place of occurrence of the external cause
40048,Y92.043,Driveway of boarding-house as the place of occurrence of the external cause
40049,Y92.044,Garage of boarding-house as the place of occurrence of the external cause
40050,Y92.045,Swimming-pool of boarding-house as the place of occurrence of the external cause
40051,Y92.046,Garden or yard of boarding-house as the place of occurrence of the external cause
40052,Y92.048,Other place in boarding-house as the place of occurrence of the external cause
40053,Y92.049,Unspecified place in boarding-house as the place of occurrence of the external cause
40054,Y92.09,Other non-institutional residence as the place of occurrence of the external cause
40055,Y92.090,Kitchen in other non-institutional residence as the place of occurrence of the external cause
40056,Y92.091,Bathroom in other non-institutional residence as the place of occurrence of the external cause
40057,Y92.092,Bedroom in other non-institutional residence as the place of occurrence of the external cause
40058,Y92.093,Driveway of other non-institutional residence as the place of occurrence of the external cause
40059,Y92.094,Garage of other non-institutional residence as the place of occurrence of the external cause
40060,Y92.095,Swimming-pool of other non-institutional residence as the place of occurrence of the external cause
40061,Y92.096,Garden or yard of other non-institutional residence as the place of occurrence of the external cause
40062,Y92.098,Other place in other non-institutional residence as the place of occurrence of the external cause
40063,Y92.099,Unspecified place in other non-institutional residence as the place of occurrence of the external cause
40064,Y92.1,Institutional (nonprivate) residence as the place of occurrence of the external cause
40065,Y92.10,Unspecified residential institution as the place of occurrence of the external cause
40066,Y92.12,Nursing home as the place of occurrence of the external cause
40067,Y92.120,Kitchen in nursing home as the place of occurrence of the external cause
40068,Y92.121,Bathroom in nursing home as the place of occurrence of the external cause
40069,Y92.122,Bedroom in nursing home as the place of occurrence of the external cause
40070,Y92.123,Driveway of nursing home as the place of occurrence of the external cause
40071,Y92.124,Garage of nursing home as the place of occurrence of the external cause
40072,Y92.125,Swimming-pool of nursing home as the place of occurrence of the external cause
40073,Y92.126,Garden or yard of nursing home as the place of occurrence of the external cause
40074,Y92.128,Other place in nursing home as the place of occurrence of the external cause
40075,Y92.129,Unspecified place in nursing home as the place of occurrence of the external cause
40076,Y92.13,Military base as the place of occurrence of the external cause
40077,Y92.130,Kitchen on military base as the place of occurrence of the external cause
40078,Y92.131,Mess hall on military base as the place of occurrence of the external cause
40079,Y92.133,Barracks on military base as the place of occurrence of the external cause
40080,Y92.135,Garage on military base as the place of occurrence of the external cause
40081,Y92.136,Swimming-pool on military base as the place of occurrence of the external cause
40082,Y92.137,Garden or yard on military base as the place of occurrence of the external cause
40083,Y92.138,Other place on military base as the place of occurrence of the external cause
40084,Y92.139,Unspecified place military base as the place of occurrence of the external cause
40085,Y92.14,Prison as the place of occurrence of the external cause
40086,Y92.140,Kitchen in prison as the place of occurrence of the external cause
40087,Y92.141,Dining room in prison as the place of occurrence of the external cause
40088,Y92.142,Bathroom in prison as the place of occurrence of the external cause
40089,Y92.143,Cell of prison as the place of occurrence of the external cause
40090,Y92.146,Swimming-pool of prison as the place of occurrence of the external cause
40091,Y92.147,Courtyard of prison as the place of occurrence of the external cause
40092,Y92.148,Other place in prison as the place of occurrence of the external cause
40093,Y92.149,Unspecified place in prison as the place of occurrence of the external cause
40094,Y92.15,Reform school as the place of occurrence of the external cause
40095,Y92.150,Kitchen in reform school as the place of occurrence of the external cause
40096,Y92.151,Dining room in reform school as the place of occurrence of the external cause
40097,Y92.152,Bathroom in reform school as the place of occurrence of the external cause
40098,Y92.153,Bedroom in reform school as the place of occurrence of the external cause
40099,Y92.154,Driveway of reform school as the place of occurrence of the external cause
40100,Y92.155,Garage of reform school as the place of occurrence of the external cause
40101,Y92.156,Swimming-pool of reform school as the place of occurrence of the external cause
40102,Y92.157,Garden or yard of reform school as the place of occurrence of the external cause
40103,Y92.158,Other place in reform school as the place of occurrence of the external cause
40104,Y92.159,Unspecified place in reform school as the place of occurrence of the external cause
40105,Y92.16,School dormitory as the place of occurrence of the external cause
40106,Y92.160,Kitchen in school dormitory as the place of occurrence of the external cause
40107,Y92.161,Dining room in school dormitory as the place of occurrence of the external cause
40108,Y92.162,Bathroom in school dormitory as the place of occurrence of the external cause
40109,Y92.163,Bedroom in school dormitory as the place of occurrence of the external cause
40110,Y92.168,Other place in school dormitory as the place of occurrence of the external cause
40111,Y92.169,Unspecified place in school dormitory as the place of occurrence of the external cause
40112,Y92.19,Other specified residential institution as the place of occurrence of the external cause
40113,Y92.190,Kitchen in other specified residential institution as the place of occurrence of the external cause
40114,Y92.191,Dining room in other specified residential institution as the place of occurrence of the external cause
40115,Y92.192,Bathroom in other specified residential institution as the place of occurrence of the external cause
40116,Y92.193,Bedroom in other specified residential institution as the place of occurrence of the external cause
40117,Y92.194,Driveway of other specified residential institution as the place of occurrence of the external cause
40118,Y92.195,Garage of other specified residential institution as the place of occurrence of the external cause
40119,Y92.196,Pool of other specified residential institution as the place of occurrence of the external cause
40120,Y92.197,Garden or yard of other specified residential institution as the place of occurrence of the external cause
40121,Y92.198,Other place in other specified residential institution as the place of occurrence of the external cause
40122,Y92.199,Unspecified place in other specified residential institution as the place of occurrence of the external cause
40123,Y92.2,School and other institution and public administrative area as the place of occurrence of the external cause
40124,Y92.21,School (private) (public) (state) as the place of occurrence of the external cause
40125,Y92.210,Daycare center as the place of occurrence of the external cause
40126,Y92.211,Elementary school as the place of occurrence of the external cause
40127,Y92.212,Middle school as the place of occurrence of the external cause
40128,Y92.213,High school as the place of occurrence of the external cause
40129,Y92.214,College as the place of occurrence of the external cause
40130,Y92.215,Trade school as the place of occurrence of the external cause
40131,Y92.218,Other school as the place of occurrence of the external cause
40132,Y92.219,Unspecified school as the place of occurrence of the external cause
40133,Y92.22,Religious institution as the place of occurrence of the external cause
40134,Y92.23,Hospital as the place of occurrence of the external cause
40135,Y92.230,Patient room in hospital as the place of occurrence of the external cause
40136,Y92.231,Patient bathroom in hospital as the place of occurrence of the external cause
40137,Y92.232,Corridor of hospital as the place of occurrence of the external cause
40138,Y92.233,Cafeteria of hospital as the place of occurrence of the external cause
40139,Y92.234,Operating room of hospital as the place of occurrence of the external cause
40140,Y92.238,Other place in hospital as the place of occurrence of the external cause
40141,Y92.239,Unspecified place in hospital as the place of occurrence of the external cause
40142,Y92.24,Public administrative building as the place of occurrence of the external cause
40143,Y92.240,Courthouse as the place of occurrence of the external cause
40144,Y92.241,Library as the place of occurrence of the external cause
40145,Y92.242,Post office as the place of occurrence of the external cause
40146,Y92.243,City hall as the place of occurrence of the external cause
40147,Y92.248,Other public administrative building as the place of occurrence of the external cause
40148,Y92.25,Cultural building as the place of occurrence of the external cause
40149,Y92.250,Art Gallery as the place of occurrence of the external cause
40150,Y92.251,Museum as the place of occurrence of the external cause
40151,Y92.252,Music hall as the place of occurrence of the external cause
40152,Y92.253,Opera house as the place of occurrence of the external cause
40153,Y92.254,Theater (live) as the place of occurrence of the external cause
40154,Y92.258,Other cultural public building as the place of occurrence of the external cause
40155,Y92.26,Movie house or cinema as the place of occurrence of the external cause
40156,Y92.29,Other specified public building as the place of occurrence of the external cause
40157,Y92.3,Sports and athletics area as the place of occurrence of the external cause
40158,Y92.31,Athletic court as the place of occurrence of the external cause
40159,Y92.310,Basketball court as the place of occurrence of the external cause
40160,Y92.311,Squash court as the place of occurrence of the external cause
40161,Y92.312,Tennis court as the place of occurrence of the external cause
40162,Y92.318,Other athletic court as the place of occurrence of the external cause
40163,Y92.32,Athletic field as the place of occurrence of the external cause
40164,Y92.320,Baseball field as the place of occurrence of the external cause
40165,Y92.321,Football field as the place of occurrence of the external cause
40166,Y92.322,Soccer field as the place of occurrence of the external cause
40167,Y92.328,Other athletic field as the place of occurrence of the external cause
40168,Y92.33,Skating rink as the place of occurrence of the external cause
40169,Y92.330,Ice skating rink (indoor) (outdoor) as the place of occurrence of the external cause
40170,Y92.331,Roller skating rink as the place of occurrence of the external cause
40171,Y92.34,Swimming pool (public) as the place of occurrence of the external cause
40172,Y92.39,Other specified sports and athletic area as the place of occurrence of the external cause
40173,Y92.4,Street and highway and other paved roadways as the place of occurrence of the external cause
40174,Y92.41,Street and highway as the place of occurrence of the external cause
40175,Y92.410,Unspecified street and highway as the place of occurrence of the external cause
40176,Y92.411,Interstate highway as the place of occurrence of the external cause
40177,Y92.412,Parkway as the place of occurrence of the external cause
40178,Y92.413,State road as the place of occurrence of the external cause
40179,Y92.414,Local residential or business street as the place of occurrence of the external cause
40180,Y92.415,Exit ramp or entrance ramp of street or highway as the place of occurrence of the external cause
40181,Y92.48,Other paved roadways as the place of occurrence of the external cause
40182,Y92.480,Sidewalk as the place of occurrence of the external cause
40183,Y92.481,Parking lot as the place of occurrence of the external cause
40184,Y92.482,Bike path as the place of occurrence of the external cause
40185,Y92.488,Other paved roadways as the place of occurrence of the external cause
40186,Y92.5,Trade and service area as the place of occurrence of the external cause
40187,Y92.51,Private commercial establishments as the place of occurrence of the external cause
40188,Y92.510,Bank as the place of occurrence of the external cause
40189,Y92.512,Supermarket and store or market as the place of occurrence of the external cause
40190,Y92.513,Shop (commercial) as the place of occurrence of the external cause
40191,Y92.52,Service areas as the place of occurrence of the external cause
40192,Y92.520,Airport as the place of occurrence of the external cause
40193,Y92.521,Bus station as the place of occurrence of the external cause
40194,Y92.522,Railway station as the place of occurrence of the external cause
40195,Y92.523,Highway rest stop as the place of occurrence of the external cause
40196,Y92.524,Gas station as the place of occurrence of the external cause
40197,Y92.53,Ambulatory health services establishments as the place of occurrence of the external cause
40198,Y92.530,Ambulatory surgery center as the place of occurrence of the external cause
40199,Y92.531,Health care provider office as the place of occurrence of the external cause
40200,Y92.532,Urgent care center as the place of occurrence of the external cause
40201,Y92.538,Other ambulatory health services establishments as the place of occurrence of the external cause
40202,Y92.59,Other trade areas as the place of occurrence of the external cause
40203,Y92.6,Industrial and construction area as the place of occurrence of the external cause
40204,Y92.62,Dock or shipyard as the place of occurrence of the external cause
40205,Y92.63,Factory as the place of occurrence of the external cause
40206,Y92.64,Mine or pit as the place of occurrence of the external cause
40207,Y92.65,Oil rig as the place of occurrence of the external cause
40208,Y92.69,Other specified industrial and construction area as the place of occurrence of the external cause
40209,Y92.7,Farm as the place of occurrence of the external cause
40210,Y92.71,Barn as the place of occurrence of the external cause
40211,Y92.72,Chicken coop as the place of occurrence of the external cause
40212,Y92.73,Farm field as the place of occurrence of the external cause
40213,Y92.74,Orchard as the place of occurrence of the external cause
40214,Y92.79,Other farm location as the place of occurrence of the external cause
40215,Y92.8,Other places as the place of occurrence of the external cause
40216,Y92.81,Transport vehicle as the place of occurrence of the external cause
40217,Y92.810,Car as the place of occurrence of the external cause
40218,Y92.811,Bus as the place of occurrence of the external cause
40219,Y92.812,Truck as the place of occurrence of the external cause
40220,Y92.813,Airplane as the place of occurrence of the external cause
40221,Y92.814,Boat as the place of occurrence of the external cause
40222,Y92.815,Train as the place of occurrence of the external cause
40223,Y92.816,Subway car as the place of occurrence of the external cause
40224,Y92.818,Other transport vehicle as the place of occurrence of the external cause
40225,Y92.82,Wilderness area
40226,Y92.820,Desert as the place of occurrence of the external cause
40227,Y92.821,Forest as the place of occurrence of the external cause
40228,Y92.828,Other wilderness area as the place of occurrence of the external cause
40229,Y92.83,Recreation area as the place of occurrence of the external cause
40230,Y92.830,Public park as the place of occurrence of the external cause
40231,Y92.831,Amusement park as the place of occurrence of the external cause
40232,Y92.832,Beach as the place of occurrence of the external cause
40233,Y92.833,Campsite as the place of occurrence of the external cause
40234,Y92.834,Zoological garden (Zoo) as the place of occurrence of the external cause
40235,Y92.838,Other recreation area as the place of occurrence of the external cause
40236,Y92.84,Military training ground as the place of occurrence of the external cause
40237,Y92.85,Railroad track as the place of occurrence of the external cause
40238,Y92.86,Slaughter house as the place of occurrence of the external cause
40239,Y92.89,Other specified places as the place of occurrence of the external cause
40240,Y92.9,Unspecified place or not applicable
40241,Y93,Activity codes
40242,Y93.0,Activities involving walking and running
40243,Y93.01,Activity and walking and marching and hiking
40244,Y93.02,Activity and running
40245,Y93.1,Activities involving water and water craft
40246,Y93.11,Activity and swimming
40247,Y93.12,Activity and springboard and platform diving
40248,Y93.13,Activity and water polo
40249,Y93.14,Activity and water aerobics and water exercise
40250,Y93.15,Activity and underwater diving and snorkeling
40251,Y93.16,Activity and rowing and canoeing and kayaking and rafting and tubing
40252,Y93.17,Activity and water skiing and wake boarding
40253,Y93.18,Activity and surfing and windsurfing and boogie boarding
40254,Y93.19,Activity and other involving water and watercraft
40255,Y93.2,Activities involving ice and snow
40256,Y93.21,Activity and ice skating
40257,Y93.22,Activity and ice hockey
40258,Y93.23,Activity and snow (alpine) (downhill) skiing and snow boarding and sledding and tobogganing and snow tubing
40259,Y93.24,Activity and cross country skiing
40260,Y93.29,Activity and other involving ice and snow
40261,Y93.3,Activities involving climbing and rappelling and jumping off
40262,Y93.31,Activity and mountain climbing and rock climbing and wall climbing
40263,Y93.32,Activity and rappelling
40264,Y93.33,Activity and BASE jumping
40265,Y93.34,Activity and bungee jumping
40266,Y93.35,Activity and hang gliding
40267,Y93.39,Activity and other involving climbing and rappelling and jumping off
40268,Y93.4,Activities involving dancing and other rhythmic movement
40269,Y93.41,Activity and dancing
40270,Y93.42,Activity and yoga
40271,Y93.43,Activity and gymnastics
40272,Y93.44,Activity and trampolining
40273,Y93.45,Activity and cheerleading
40274,Y93.49,Activity and other involving dancing and other rhythmic movements
40275,Y93.5,Activities involving other sports and athletics played individually
40276,Y93.51,Activity and roller skating (inline) and skateboarding
40277,Y93.52,Activity and horseback riding
40278,Y93.53,Activity and golf
40279,Y93.54,Activity and bowling
40280,Y93.55,Activity and bike riding
40281,Y93.56,Activity and jumping rope
40282,Y93.57,Activity and non-running track and field events
40283,Y93.59,Activity and other involving other sports and athletics played individually
40284,Y93.6,Activities involving other sports and athletics played as a team or group
40285,Y93.61,Activity and american tackle football
40286,Y93.62,Activity and american flag or touch football
40287,Y93.63,Activity and rugby
40288,Y93.64,Activity and baseball
40289,Y93.65,Activity and lacrosse and field hockey
40290,Y93.66,Activity and soccer
40291,Y93.67,Activity and basketball
40292,Y93.68,Activity and volleyball (beach) (court)
40293,Y93.6A,Activity and physical games generally associated with school recess and summer camp and children
40294,Y93.69,Activity and other involving other sports and athletics played as a team or group
40295,Y93.7,Activities involving other specified sports and athletics
40296,Y93.71,Activity and boxing
40297,Y93.72,Activity and wrestling
40298,Y93.73,Activity and racquet and hand sports
40299,Y93.74,Activity and frisbee
40300,Y93.75,Activity and martial arts
40301,Y93.79,Activity and other specified sports and athletics
40302,Y93.A,Activities involving other cardiorespiratory exercise
40303,Y93.A1,Activity and exercise machines primarily for cardiorespiratory conditioning
40304,Y93.A2,Activity and calisthenics
40305,Y93.A3,Activity and aerobic and step exercise
40306,Y93.A4,Activity and circuit training
40307,Y93.A5,Activity and obstacle course
40308,Y93.A6,Activity and grass drills
40309,Y93.A9,Activity and other involving cardiorespiratory exercise
40310,Y93.B,Activities involving other muscle strengthening exercises
40311,Y93.B1,Activity and exercise machines primarily for muscle strengthening
40312,Y93.B2,Activity and push-ups and pull-ups and sit-ups
40313,Y93.B3,Activity and free weights
40314,Y93.B4,Activity and pilates
40315,Y93.B9,Activity and other involving muscle strengthening exercises
40316,Y93.C,Activities involving computer technology and electronic devices
40317,Y93.C1,Activity and computer keyboarding
40318,Y93.C2,Activity and hand held interactive electronic device
40319,Y93.C9,Activity and other involving computer technology and electronic devices
40320,Y93.D,Activities involving arts and handcrafts
40321,Y93.D1,Activity and knitting and crocheting
40322,Y93.D2,Activity and sewing
40323,Y93.D3,Activity and furniture building and finishing
40324,Y93.D9,Activity and other involving arts and handcrafts
40325,Y93.E,Activities involving personal hygiene and interior property and clothing maintenance
40326,Y93.E1,Activity and personal bathing and showering
40327,Y93.E2,Activity and laundry
40328,Y93.E3,Activity and vacuuming
40329,Y93.E4,Activity and ironing
40330,Y93.E5,Activity and floor mopping and cleaning
40331,Y93.E6,Activity and residential relocation
40332,Y93.E8,Activity and other personal hygiene
40333,Y93.E9,Activity and other interior property and clothing maintenance
40334,Y93.F,Activities involving caregiving
40335,Y93.F1,Activity and caregiving and bathing
40336,Y93.F2,Activity and caregiving and lifting
40337,Y93.F9,Activity and other caregiving
40338,Y93.G,Activities involving food preparation and cooking and grilling
40339,Y93.G1,Activity and food preparation and clean up
40340,Y93.G2,Activity and grilling and smoking food
40341,Y93.G3,Activity and cooking and baking
40342,Y93.G9,Activity and other involving cooking and grilling
40343,Y93.H,Activities involving exterior property and land maintenance and building and construction
40344,Y93.H1,Activity and digging and shoveling and raking
40345,Y93.H2,Activity and gardening and landscaping
40346,Y93.H3,Activity and building and construction
40347,Y93.H9,Activity and other involving exterior property and land maintenance and building and construction
40348,Y93.I,Activities involving roller coasters and other types of external motion
40349,Y93.I1,Activity and roller coaster riding
40350,Y93.I9,Activity and other involving external motion
40351,Y93.J,Activities involving playing musical instrument
40352,Y93.J1,Activity and piano playing
40353,Y93.J2,Activity and drum and other percussion instrument playing
40354,Y93.J3,Activity and string instrument playing
40355,Y93.J4,Activity and winds and brass instrument playing
40356,Y93.K,Activities involving animal care
40357,Y93.K1,Activity and walking an animal
40358,Y93.K2,Activity and milking an animal
40359,Y93.K3,Activity and grooming and shearing an animal
40360,Y93.K9,Activity and other involving animal care
40361,Y93.8,Activities and other specified
40362,Y93.81,Activity and refereeing a sports activity
40363,Y93.82,Activity and spectator at an event
40364,Y93.83,Activity and rough housing and horseplay
40365,Y93.84,Activity and sleeping
40366,Y93.85,Activity and choking game
40367,Y93.89,Activity and other specified
40368,Y93.9,Activity and unspecified
40369,Y95,Nosocomial condition
40370,Y99,External cause status
40371,Y99.0,Civilian activity done for income or pay
40372,Y99.1,Military activity
40373,Y99.2,Volunteer activity
40374,Y99.8,Other external cause status
40375,Y99.9,Unspecified external cause status
40376,Z00,Encounter for general examination without complaint and suspected or reported diagnosis
40377,Z00.0,Encounter for general adult medical examination
40378,Z00.00,Encounter for general adult medical examination without abnormal findings
40379,Z00.01,Encounter for general adult medical examination with abnormal findings
40380,Z00.1,Encounter for newborn and infant and child health examinations
40381,Z00.11,Newborn health examination
40382,Z00.12,Encounter for routine child health examination
40383,Z00.121,Encounter for routine child health examination with abnormal findings
40384,Z00.129,Encounter for routine child health examination without abnormal findings
40385,Z00.2,Encounter for examination for period of rapid growth in childhood
40386,Z00.3,Encounter for examination for adolescent development state
40387,Z00.5,Encounter for examination of potential donor of organ and tissue
40388,Z00.6,Encounter for examination for normal comparison and control in clinical research program
40389,Z00.7,Encounter for examination for period of delayed growth in childhood
40390,Z00.70,Encounter for examination for period of delayed growth in childhood without abnormal findings
40391,Z00.71,Encounter for examination for period of delayed growth in childhood with abnormal findings
40392,Z00.8,Encounter for other general examination
40393,Z01,Encounter for other special examination without complaint and suspected or reported diagnosis
40394,Z01.0,Encounter for examination of eyes and vision
40395,Z01.00,Encounter for examination of eyes and vision without abnormal findings
40396,Z01.01,Encounter for examination of eyes and vision with abnormal findings
40397,Z01.1,Encounter for examination of ears and hearing
40398,Z01.10,Encounter for examination of ears and hearing without abnormal findings
40399,Z01.11,Encounter for examination of ears and hearing with abnormal findings
40400,Z01.110,Encounter for hearing examination following failed hearing screening
40401,Z01.118,Encounter for examination of ears and hearing with other abnormal findings
40402,Z01.12,Encounter for hearing conservation and treatment
40403,Z01.2,Encounter for dental examination and cleaning
40404,Z01.20,Encounter for dental examination and cleaning without abnormal findings
40405,Z01.21,Encounter for dental examination and cleaning with abnormal findings
40406,Z01.3,Encounter for examination of blood pressure
40407,Z01.30,Encounter for examination of blood pressure without abnormal findings
40408,Z01.31,Encounter for examination of blood pressure with abnormal findings
40409,Z01.4,Encounter for gynecological examination
40410,Z01.41,Encounter for routine gynecological examination
40411,Z01.411,Encounter for gynecological examination (general) (routine) with abnormal findings
40412,Z01.419,Encounter for gynecological examination (general) (routine) without abnormal findings
40413,Z01.42,Encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear
40414,Z01.8,Encounter for other specified special examinations
40415,Z01.81,Encounter for preprocedural examinations
40416,Z01.810,Encounter for preprocedural cardiovascular examination
40417,Z01.811,Encounter for preprocedural respiratory examination
40418,Z01.812,Encounter for preprocedural laboratory examination
40419,Z01.818,Encounter for other preprocedural examination
40420,Z01.82,Encounter for allergy testing
40421,Z01.83,Encounter for blood typing
40422,Z01.84,Encounter for antibody response examination
40423,Z01.89,Encounter for other specified special examinations
40424,Z02,Encounter for administrative examination
40425,Z02.0,Encounter for examination for admission to educational institution
40426,Z02.1,Encounter for pre-employment examination
40427,Z02.2,Encounter for examination for admission to residential institution
40428,Z02.3,Encounter for examination for recruitment to armed forces
40429,Z02.4,Encounter for examination for driving license
40430,Z02.5,Encounter for examination for participation in sport
40431,Z02.6,Encounter for examination for insurance purposes
40432,Z02.7,Encounter for issue of medical certificate
40433,Z02.71,Encounter for disability determination
40434,Z02.79,Encounter for issue of other medical certificate
40435,Z02.8,Encounter for other administrative examinations
40436,Z02.81,Encounter for paternity testing
40437,Z02.82,Encounter for adoption services
40438,Z02.83,Encounter for blood-alcohol and blood-drug test
40439,Z02.89,Encounter for other administrative examinations
40440,Z02.9,Encounter for administrative examinations and unspecified
40441,Z03,Encounter for medical observation for suspected diseases and conditions ruled out
40442,Z03.6,Encounter for observation for suspected toxic effect from ingested substance ruled out
40443,Z03.7,Encounter for suspected maternal and fetal conditions ruled out
40444,Z03.71,Encounter for suspected problem with amniotic cavity and membrane ruled out
40445,Z03.72,Encounter for suspected placental problem ruled out
40446,Z03.73,Encounter for suspected fetal anomaly ruled out
40447,Z03.74,Encounter for suspected problem with fetal growth ruled out
40448,Z03.75,Encounter for suspected cervical shortening ruled out
40449,Z03.79,Encounter for other suspected maternal and fetal conditions ruled out
40450,Z03.8,Encounter for observation for other suspected diseases and conditions ruled out
40451,Z03.81,Encounter for observation for suspected exposure to biological agents ruled out
40452,Z03.810,Encounter for observation for suspected exposure to anthrax ruled out
40453,Z03.818,Encounter for observation for suspected exposure to other biological agents ruled out
40454,Z03.89,Encounter for observation for other suspected diseases and conditions ruled out
40455,Z04,Encounter for examination and observation for other reasons
40456,Z04.1,Encounter for examination and observation following transport accident
40457,Z04.2,Encounter for examination and observation following work accident
40458,Z04.3,Encounter for examination and observation following other accident
40459,Z04.4,Encounter for examination and observation following alleged rape
40460,Z04.41,Encounter for examination and observation following alleged adult rape
40461,Z04.42,Encounter for examination and observation following alleged child rape
40462,Z04.6,Encounter for general psychiatric examination and requested by authority
40463,Z04.7,Encounter for examination and observation following alleged physical abuse
40464,Z04.71,Encounter for examination and observation following alleged adult physical abuse
40465,Z04.72,Encounter for examination and observation following alleged child physical abuse
40466,Z04.8,Encounter for examination and observation for other specified reasons
40467,Z04.9,Encounter for examination and observation for unspecified reason
40468,Z05,Encounter for observation and evaluation of newborn for suspected diseases and conditions ruled out
40469,Z05.0,Observation and evaluation of newborn for suspected cardiac condition ruled out
40470,Z05.1,Observation and evaluation of newborn for suspected infectious condition ruled out
40471,Z05.2,Observation and evaluation of newborn for suspected neurological condition ruled out
40472,Z05.3,Observation and evaluation of newborn for suspected respiratory condition ruled out
40473,Z05.4,Observation and evaluation of newborn for suspected genetic and metabolic or immunologic condition ruled out
40474,Z05.41,Observation and evaluation of newborn for suspected genetic condition ruled out
40475,Z05.42,Observation and evaluation of newborn for suspected metabolic condition ruled out
40476,Z05.43,Observation and evaluation of newborn for suspected immunologic condition ruled out
40477,Z05.5,Observation and evaluation of newborn for suspected gastrointestinal condition ruled out
40478,Z05.6,Observation and evaluation of newborn for suspected genitourinary condition ruled out
40479,Z05.7,Observation and evaluation of newborn for suspected skin and subcutaneous and musculoskeletal and connective tissue condition ruled out
40480,Z05.71,Observation and evaluation of newborn for suspected skin and subcutaneous tissue condition ruled out
40481,Z05.72,Observation and evaluation of newborn for suspected musculoskeletal condition ruled out
40482,Z05.73,Observation and evaluation of newborn for suspected connective tissue condition ruled out
40483,Z05.8,Observation and evaluation of newborn for other specified suspected condition ruled out
40484,Z05.9,Observation and evaluation of newborn for unspecified suspected condition ruled out
40485,Z08,Encounter for follow-up examination after completed treatment for malignant neoplasm
40486,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
40487,Z11,Encounter for screening for infectious and parasitic diseases
40488,Z11.0,Encounter for screening for intestinal infectious diseases
40489,Z11.1,Encounter for screening for respiratory tuberculosis
40490,Z11.2,Encounter for screening for other bacterial diseases
40491,Z11.3,Encounter for screening for infections with a predominantly sexual mode of transmission
40492,Z11.5,Encounter for screening for other viral diseases
40493,Z11.51,Encounter for screening for human papillomavirus (HPV)
40494,Z11.59,Encounter for screening for other viral diseases
40495,Z11.6,Encounter for screening for other protozoal diseases and helminthiases
40496,Z11.8,Encounter for screening for other infectious and parasitic diseases
40497,Z11.9,Encounter for screening for infectious and parasitic diseases and unspecified
