ID,CODE,DESCRIPTION,
13191,47684-6,Leucine/Amino acids.total in Dried blood spot,
13192,17004-3,Hypoxanthine [Mass/volume] in Urine,
13193,51750-8,Pyruvate [Moles/volume] in Arterial blood,
13194,73390-7,Esomeprazole induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
13195,16607-4,Chlorine [Mass/volume] in Water,
13196,46009-7,Test for balance Set,
13197,73504-3,Benztropine induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
13198,63106-9,Lima Bean IgG Ab [Mass/volume] in Serum,
13199,34516-5,SPAST gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
13200,49135-7,Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,
13201,55408-9,Exercise tolerance,
13202,72174-6,Rotavirus Ag [Presence] in Stool by Rapid immunoassay,
13203,70808-1,I worry about getting sick due to low blood counts in the past 7 days [FACIT],
13204,57378-2,Porphyrins/Creatinine [Molar ratio] in Urine,
13205,907-6,Blood group antigens present [Identifier] in Blood product unit,
13206,16681-9,Coxsackievirus A IgM Ab [Units/volume] in Serum,
13207,69633-6,Total difficulty score - follow-up [OPTIMAL],
13208,56024-3,Influenza virus A N1 RNA [Units/volume] (viral load) in Unspecified specimen by Probe and target amplification method,
13209,73763-5,Mother was transferred for maternal medical or fetal indications for delivery [US Standard Certificate of Live Birth],
13210,15173-8,Cryoglobulin.IgM [Units/volume] in Serum,
13211,7575-4,Peach IgG Ab [Units/volume] in Serum,
13212,12483-4,Tungsten [Presence] in Serum or Plasma,
13213,71646-4,Eosinophils/Leukocytes [Pure number fraction] in Body fluid by Manual count,
13214,48059-0,Giardia lamblia+Cryptosporidium sp Ag [Presence] in Stool by Immunoassay,
13215,45932-1,Resident assessment protocol 9--Behavioral symptoms - triggered [Minimum Data Set],
13216,17521-6,Reticulin Ab [Presence] in Serum,
13217,71438-6,I am able to have and maintain an erection in the past 7 days [FACIT],
13218,74542-2,Pyruvate kinase/Glucose-6-Phosphate dehydrogenase [Enzymatic activity ratio] in Red Blood Cells,
13219,64018-5,Has any relative in your family been diagnosed with a cleft lip or palate [PhenX],
13220,56789-1,Insulin [Units/volume] in Serum or Plasma --32 hours post XXX challenge,
13221,49457-5,Androgen receptor Ag [Presence] in Tissue by Immune stain,
13222,13133-4,Streptococcus pneumoniae 26 Ab [Units/volume] in Serum,
13223,25971-3,5-Hydroxyindoleacetate [Moles/volume] in 24 hour Urine,
13224,55009-5,Transfusions in last 14 days - while a resident [MDSv3],
13225,74021-7,Genetic risk algorithm,
13226,59137-0,CD5+CD23+ cells/100 cells in Bone marrow,
13227,11606-1,Leptospira interrogans Ab [Units/volume] in Serum,
13228,21122-7,Borrelia hermsii IgM Ab [Titer] in Serum by Immunofluorescence,
13229,42467-1,Fetal Narrative Study observation.general.limited and/or multiple fetuses US,
13230,68966-1,Respiratory syncytial virus Ag [Presence] in Nasopharynx by Immunoassay,
13231,62365-2,Diagnostic impression [interpretation] in Unspecified specimen by Molecular genetics method Narrative,
13232,44681-5,Invasive melanoma.uninvolved margin.closest by CAP cancer protocols,
13233,47593-9,C peptide [Moles/volume] in Serum or Plasma --5 minutes pre dose glucose,
13234,22084-8,Anaplasma marginale Ab [Presence] in Serum,
13235,23866-7,Glutaraldehyde [Presence] in Urine,
13236,20172-3,Aortic valve regurgitant jet End diastole blood flow by US.doppler,
13237,18541-3,Q-T interval Lead V4,
13238,66449-0,Annual mercury recombinant (rMer a) 1 IgE Ab [Units/volume] in Serum,
13239,58915-0,Parakeet feather IgG Ab [Mass/volume] in Serum,
13240,74239-5,HEDIS 2014 Value Set - Carbamazepine Level,
13241,11021-3,Microscopic observation [Identifier] in Blood or Marrow by Terminal deoxynucleotidyl transferase stain,
13242,20589-8,CD14 cells/100 cells in Unspecified specimen,
13243,55056-6,Resident's overall goals,
13244,48185-3,Honey Bee triggered leukotriene release [Mass/volume] by Leukocytes,
13245,30919-5,Iron [Mass/volume] in unspecified time Urine,
13246,56323-9,Mountain Juniper IgG4 Ab [Mass/volume] in Serum,
13247,29016-3,Argon laser coagulation treatment effects [#] Eye - left,
13248,61159-0,Hepatitis B virus codon M204S [Presence] by Genotype method,
13249,74197-5,InterRAI Contact Assessment (CA) Document,
13250,49475-7,CD41-Bf Ag [Presence] in Tissue by Immune stain,
13251,14988-0,little i-1 subtype [Presence] on Red Blood Cells,
13252,59709-6,Midazolam [Mass/volume] in Body fluid,
13253,10893-6,Trenbolone [Mass/volume] in Urine,
13254,60695-4,Fingers objects or surfaces on left [TIMP],
13255,52452-0,Administrative Items,
13256,74614-9,Fatty acids.very long chain C26:0 (Hexacosanoate) [Mass/mass] in Fibroblast,
13257,6904-7,Deprecated Phenothiazine,
13258,8392-3,Right ventricular End diastolic blood pressure,
13259,56912-9,Cholesterol [Mass/volume] in Pericardial fluid,
13260,11900-8,Gestational age estimated from Biparietal diameter by method of Doubilet 1993 (US),
13261,56275-1,Green Bean IgG4 Ab [Mass/volume] in Serum,
13262,8984-7,Fluid intake Estimated,
13263,18093-5,Aortic valve Orifice [Area] by US.continuity.Vmax+Area,
13264,35459-7,T cell crossmatch [interpretation],
13265,12163-2,Fetal Kidney - right Volume derived by US,
13266,5488-2,Deprecated CD46 cells/100 cells in Blood,
13267,60134-4,Parathion [Mass/mass] in Tissue,
13268,21537-6,Spinach IgG Ab RAST class [Presence] in Serum,
13269,61277-0,Isocyanate HDI IgE Ab [Ratio] in Serum,
13270,17199-1,CD80 cells/100 cells in Blood,
13271,72167-0,Deprecated Name of section completed,
13272,48507-8,Saint Louis encephalitis virus IgM Ab [Presence] in Body fluid by Immunoassay,
13273,4976-7,HLA-DR1 [Presence] in donor,
13274,5383-5,Thyroperoxidase Ab [Titer] in Serum or Plasma by Latex agglutination,
13275,8112-5,CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood,
13276,57196-8,Prior medication management,
13277,11506-3,Provider-unspecified Progress note,
13278,19250-0,Lipoprotein.alpha [Mass/volume] in Pleural fluid,
13279,67376-4,I'm tense when talking with others because of my voice [PhenX],
13280,57813-8,HEDIS 2010 Codes to identify evidence of nephropathy (CDC-K),
13281,73365-9,Gentamicin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
13282,43393-8,LDL 4 [Mass/volume] in Serum or Plasma,
13283,2348-1,Glucose [Mass/volume] in Synovial fluid,
13284,7483-1,Maple syrup IgE Ab [Units/volume] in Serum,
13285,68901-8,Erythrocytes [Presence] in Dialysis fluid,
13286,31471-6,Legionella pneumophila Ab [Units/volume] in Serum,
13287,27650-1,Physical therapy treatment plan and/or Primary diagnosis (narrative),
13288,55835-3,Vegetable fibers [Presence] in Stool by Light microscopy,
13289,48235-6,American house dust mite triggered leukotriene release [Mass/volume] by Leukocytes,
13290,16719-7,Cytomegalovirus inclusion bodies [Presence] in Urine by Microscopic observation,
13291,57849-2,Medication allergy Narrative - Reported,
13292,74073-8,Type of nutritional product [AHRQ],
13293,60465-2,Neisseria meningitidis w135 IgG Ab [Mass/volume] in Serum by Immunoassay,
13294,11087-4,Insulin Ab [Titer] in Serum,
13295,30318-0,Base deficit in Blood,
13296,23885-7,Isoheptacarboxylporphyrin [Mass/time] in unspecified time Stool,
13297,27206-2,Morphine Free [Mass/volume] in Vitreous fluid,
13298,4581-5,Hemoglobin G - Coushatta [Presence] in Blood by Electrophoresis acid (pH 6.3),
13299,43243-5,Isobutyrylcarnitine (C4) [Moles/volume] in Serum or Plasma,
13300,27384-7,Leptospira sp IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
13301,16282-6,Acetaminophen [Units/volume] in Urine,
13302,48156-4,Threo-4-Deoxytetronate/Creatinine [Molar ratio] in Urine,
13303,27466-2,Cardiac rehabilitation treatment plan and/or Diagnosis addressed by plan (narrative) Text,
13304,10321-8,Enema device Vendor serial number,
13305,66861-6,How often do you feel that your interests and ideas are not shared by those around you [PhenX],
13306,65295-8,I don't have much sympathy for people [PhenX],
13307,16151-3,Dechlorane [Presence] in Serum or Plasma,
13308,73624-9,Ceftolozane+Tazobactam [Susceptibility] by Minimum inhibitory concentration (MIC),
13309,71127-5,Emotional well-being - living with HIV [FACIT],
13310,63804-9,Did you handle this air contaminant yourself [PhenX],
13311,5356-1,Smith extractable nuclear Ab [Presence] in Serum by Immunoassay,
13312,56193-6,Black Willow IgG4 Ab [Mass/volume] in Serum,
13313,4514-6,Complement decay accelerating factor [Entitic number] in Red Blood Cells,
13314,47267-0,Adenosine monophosphate.cyclic [Moles/volume] in Urine --6th specimen post XXX challenge,
13315,71685-2,FDA package insert PMI - Tell your doctor before taking section,
13316,48632-4,Heptacarboxylporphyrin [Mass/time] in 24 hour Stool,
13317,54449-4,SMN2 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
13318,25949-9,Lutropin [Units/volume] in Serum or Plasma by 1st IRP --7th specimen post XXX challenge,
13319,5699-4,Molybdenum [Mass/volume] in Urine,
13320,33119-9,Gestational age estimated from Occipital-frontal diameter by method of Australian Society of Ultrasound Medicine 2000 (US),
13321,11656-6,Fetal Cerebral artery middle Minimal flow velocity US.doppler,
13322,434-1,Ristocetin [Susceptibility] by Serum bactericidal titer,
13323,54824-8,None of the above active diagnoses in last 7 days [MDSv3],
13324,13472-6,Nickel/Creatinine [Mass Ratio] in Urine,
13325,55830-4,Catecholamines [Moles/volume] in Cerebral spinal fluid,
13326,73076-2,Neutrophil IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
13327,15521-8,White Alder IgE Ab RAST class [Presence] in Serum,
13328,69328-3,Patient history and diagnosis - transfer to facility and/or discharge from agency [OASIS-C],
13329,17403-7,Human papilloma virus 31+33+35 Ag [Presence] in Unspecified specimen,
13330,65064-8,Your child finds making up stories easy [PhenX],
13331,13190-4,Formaldehyde IgM Ab [Units/volume] in Serum or Plasma,
13332,31226-4,Asialoganglioside GM1 IgG Ab [Units/volume] in Serum,
13333,45444-7,Bathing in PM [Minimum Data Set],
13334,55534-2,Doxylamine [Moles/volume] in Serum or Plasma,
13335,33481-3,Methane/Expired gas [Volume Fraction] in Exhaled gas --2.5 hours post dose lactose PO,
13336,14613-4,Nuclear Ab [Titer] in Body fluid,
13337,55050-9,Physical restraints used in chair or out of bed - chair prevents rising [MDSv3],
13338,727-8,Deprecated Hemoglobin distribution width [Length] in Blood by Automated count,
13339,55619-1,Avilamycin [Susceptibility] by Gradient strip (E-test),
13340,52288-8,Physical therapy treatment plan and/or Current level of function (narrative),
13341,43602-2,Echinococcus granulosus Ab [Units/volume] in Serum by Immunoassay,
13342,63597-9,During the past 30 days and/or on how many days did you drink one or more drinks of an alcoholic beverage [PhenX],
13343,71857-7,Hemoglobin S/Hemoglobin.total [Pure mass fraction] in Blood,
13344,44046-1,Bordetella pertussis Higashi-Hama Ab [Units/volume] in Serum,
13345,12052-7,Fetal Diaphragm Narrative Study observation US,
13346,25320-3,Anserine [Moles/time] in 24 hour Urine,
13347,65286-7,People often abuse my trust [PhenX],
13348,6439-4,Influenza virus A+B+C Ag [Presence] in Throat by Immunoassay,
13349,17841-8,Amylase [Enzymatic activity/time] in 12 hour Urine,
13350,27370-6,Chlamydia trachomatis C Ab [Titer] in Serum by Immunofluorescence,
13351,68641-0,Child and adolescent psychiatry Diagnostic study note,
13352,67766-6,HEDIS 2012 Codes to identify sexually active women (CHL-B),
13353,5863-6,Influenza virus A Ag [Presence] in Unspecified specimen by Immunofluorescence,
13354,14402-2,Creatinine [Mass/volume] in Gastric fluid,
13355,53895-9,SH3BP2 gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
13356,32183-6,Hydroxyproline Free [Moles/volume] in Urine,
13357,10041-2,S wave amplitude in lead V2,
13358,29146-8,Alpha 1 antitrypsin [Mass/volume] in Body fluid,
13359,55478-2,Follitropin [Units/volume] in Serum or Plasma --4 hours post XXX challenge,
13360,21576-4,Transferrin.carbohydrate deficient.tetrasialo fraction/Transferrin.total in Serum or Plasma,
13361,47863-6,Lactate dehydrogenase [Enzymatic activity/time] in 24 hour Urine,
13362,72131-6,Total score - Ages and Stages Questionnaires 4 months [ASQ],
13363,48559-9,Deprecated HIV gentotype [Susceptibility],
13364,66563-8,Pregnancy test result [PhenX],
13365,66890-5,Was there another time this happened [PhenX],
13366,63884-1,At what age did you last take progesterone or a progestin [PhenX],
13367,56576-2,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --45 minutes post XXX challenge,
13368,15910-3,Parsley IgE Ab RAST class [Presence] in Serum,
13369,74599-2,3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Enzymatic activity/mass] in Fibroblast,
13370,48326-3,Glipizide [Presence] in Serum or Plasma,
13371,27823-4,Protein S Ag actual/normal in Platelet poor plasma by Immunologic method,
13372,10037-0,S wave amplitude in lead I,
13373,74457-3,Neutrophils/100 leukocytes in Cord blood,
13374,69892-8,Service comment 65,
13375,65251-1,Compared to other children and/or does this child sit still and/or control movement of hands or feet or control squirming [PhenX],
13376,28237-6,Urge urinary incontinence [CCC],
13377,6134-1,Guinea pig epithelium IgE Ab [Units/volume] in Serum,
13378,61168-1,Hepatitis B virus codon S202I [Presence] by Genotype method,
13379,25897-0,Delta aminolevulinate/Creatinine [Molar ratio] in 24 hour Urine,
13380,20838-9,Herbicide [Presence] in Gastric fluid by Screen method,
13381,20532-8,Hydroxyethylflurazepam [Mass/volume] in Urine by Confirmatory method,
13382,15718-0,Formaldehyde IgE Ab RAST class [Presence] in Serum,
13383,28323-4,Physical Activity Behavior [OMAHA],
13384,17450-8,Phosphatidylethanolamine IgM Ab [Presence] in Serum,
13385,48857-7,Rickettsia africae IgM Ab [Titer] in Serum by Immunofluorescence,
13386,13110-2,Deprecated Beta tubulin Ab.IgM,
13387,33773-3,Karyotype [Identifier] in Amniotic fluid Nominal,
13388,8001-0,Rickettsia typhus group IgG Ab [Units/volume] in Serum,
13389,22887-4,Bordetella bronchiseptica Ab [Presence] in Serum by Agglutination,
13390,29413-2,Reovirus Ab [Titer] in Cerebral spinal fluid by Complement fixation,
13391,32430-1,Physical findings of Extremity,
13392,50422-5,Cortisol [Mass/volume] in Serum or Plasma --20 minutes post 100 ug CRH IV,
13393,46722-5,ZAP70 cells [Presence] in Blood,
13394,11004-9,Tricyclic antidepressants [Presence] in Urine,
13395,42078-6,Follow-up contact supplemental information,
13396,11888-5,Gestational age US composite estimate,
13397,4965-0,HLA-DR w17(3) [Presence],
13398,3864-6,Norethandrolone [Mass/volume] in Urine,
13399,65655-3,FEV6,
13400,48338-8,Histoplasma capsulatum Ag [Presence] in Tissue by Immune stain,
13401,6252-1,Stemphylium botryosum IgE Ab [Units/volume] in Serum,
13402,66230-4,Hand trial Hand - right [PhenX],
13403,31636-4,Streptococcus pneumoniae 14 Ab [Units/volume] in Serum,
13404,34115-6,Medical student Hospital History and physical note,
13405,45336-5,Bacteria producing hemolysis [Presence] in Isolate,
13406,70046-8,Mononuclear cells [#/volume] in Pericardial fluid by Automated count,
13407,9866-5,Axis Narrative by EKG,
13408,73957-3,UR-144 pentanoate (synthetic cannabinoid metabolite) [Presence] in Blood,
13409,34705-4,Carbon dioxide [Partial pressure] adjusted to patients actual temperature in Blood,
13410,27215-3,Deprecated Mitochondria M2 IgG Ab [Units/volume] in Serum,
13411,55637-3,Cefamandole+Sulbactam [Susceptibility] by Gradient strip (E-test),
13412,56313-0,Mango IgG4 Ab [Mass/volume] in Serum,
13413,27090-0,Entamoeba histolytica IgA Ab [Presence] in Saliva (oral fluid),
13414,29718-4,Orientia tsutsugamushi Kato Ab [Presence] in Serum by Immunofluorescence,
13415,47606-9,Cortisol [Moles/volume] in Serum or Plasma --1 hour post 1 ug/kg CRH IV,
13416,58333-6,Death witnessed,
13417,5063-3,Borrelia burgdorferi IgG Ab [Titer] in Serum by Immunofluorescence,
13418,6797-5,Cyclobenzaprine [Mass/volume] in Serum or Plasma,
13419,13777-8,Methylsuccinate/Creatinine [Mass Ratio] in Urine,
13420,15274-4,Weed Allergen Mix 5 (Common ragweed+Mugwort+Ox-eye daisy+Dandelion+Goldenrod) IgE Ab [Presence] in Serum by Multidisk,
13421,66407-8,Stay was longer than 30 consecutive days last year [PhenX],
13422,19806-9,Diagnosis Gastrointestine upper,
13423,720-3,Free Hemoglobin [Presence] in Plasma,
13424,51397-8,CD65w cells/100 cells in Cerebral spinal fluid,
13425,29391-0,Gastrin [Mass/volume] in Serum or Plasma --2 hours post XXX challenge,
13426,70964-2,Kt/V.Peritoneal Dialysis [Watson],
13427,22573-0,Thermoactinomyces vulgaris Ab [Presence] in Serum,
13428,59826-8,Creatinine [Moles/volume] in Blood,
13429,8491-3,Systolic blood pressure 1 hour minimum,
13430,6358-6,Deprecated Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by DNA probe,
13431,4099-8,Zimelidine [Mass/volume] in Serum or Plasma,
13432,59119-8,Ventricular Diastolic filling period by US,
13433,61494-1,How often did you drink green tea [PhenX],
13434,31351-0,Echovirus 30 Ab [Units/volume] in Cerebral spinal fluid,
13435,18237-8,Legionella pneumophila atypical IgM Ab [Presence] in Serum,
13436,45555-0,Reduced social interaction [Minimum Data Set],
13437,40105-9,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay --3 hours post XXX challenge,
13438,5021-1,Listeria monocytogenes rRNA [Presence] in Unspecified specimen by DNA probe,
13439,31486-4,Leptospira sp IgM Ab [Units/volume] in Cerebral spinal fluid,
13440,45022-1,Methadone+Metabolite [Presence] in Serum or Plasma by Confirmatory method,
13441,8732-0,Left ventricular Cardiac output by Angiography biplane,
13442,21666-3,EGFR gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,
13443,20633-4,1-Methylhistidine [Moles/volume] in Serum or Plasma,
13444,23903-8,Monocytes+Macrophages/100 leukocytes in Unspecified specimen by Manual count,
13445,52189-8,Cardiac rehabilitation treatment plan and/or Date range (from/through) DateRange,
13446,18710-4,Primary practitioner Set,
13447,71485-7,Cup-disc ratio [Ratio] Eye - right Ophthalmoscopy,
13448,1113-0,Le sup(a) Ag [Presence] on Red Blood Cells from Blood product unit,
13449,71733-0,Personnel address 2 Facility [ESRD],
13450,369-9,Norfloxacin [Susceptibility] by Serum bactericidal titer,
13451,58847-5,Somatotropin [Mass/volume] in Serum or Plasma --17th specimen,
13452,49091-2,Neural tube defect risk based on maternal age in Fetus,
13453,15957-4,Potato IgE Ab RAST class [Presence] in Serum,
13454,67703-9,Other infant NICU factors that affect newborn screening interpretation Narrative,
13455,62848-7,Mirtazapine+Normirtazapine [Mass/volume] in Serum or Plasma,
13456,57474-9,Calcitriol [Mass/volume] in Serum or Plasma --1 hour post dose calcium,
13457,441-6,Rosoxacin [Susceptibility] by Disk diffusion (KB),
13458,57794-0,Newborn screening test results panel - Dried blood spot,
13459,75266-7,Glutarylcarnitine (C5-DC)/Octanoylcarnitine+Decanoylcarnitine (C8+C10) [Molar ratio] in Dried blood spot,
13460,46627-6,Gets along with coworkers or peers WO distracting them or exhibiting behavioral extremes [RFC],
13461,1608-9,Osmolality of Urine--8 hours post fluid fast,
13462,8817-9,Right ventricular Ejection fraction by Spiral CT,
13463,54294-4,Fatty acids.very long chain C26:0 (Hexacosanoate)/Creatinine [Molar ratio] in Urine,
13464,6127-5,Goat epithelium IgE Ab [Units/volume] in Serum,
13465,649-4,Microscopic observation [Identifier] in Stool by Gram stain,
13466,59824-3,Cyanide [Presence] in Urine,
13467,44533-8,HIV 1+2 Ab [Presence] in Serum from donor,
13468,8120-8,CD21 cells/100 cells in Blood,
13469,21907-1,Distant metastases.clinical [Class] Cancer,
13470,68936-4,Baker's yeast Ab [Units/volume] in Serum by Immunoassay,
13471,1864-8,Anserine [Mass/volume] in Cerebral spinal fluid,
13472,35593-3,Creatinine renal clearance/1.73 sq M in unspecified time,
13473,7792-5,Dohle body [Presence] in Blood by Light microscopy,
13474,68255-9,I could walk on slightly uneven surfaces such as cracked pavement in the past 7 days [NeuroQol.Peds],
13475,20488-3,Streptococcus agalactiae Ag [Presence] in Cerebral spinal fluid,
13476,69559-3,Ma1 Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),
13477,7418-7,Horse dander triggered histamine release [Units/volume] in Blood,
13478,13642-4,Deprecated Ethylene glycol,
13479,6704-1,11-Ketopregnanetriol [Mass/time] in 24 hour Urine,
13480,52478-5,Number of Major Wounds,
13481,39573-1,West Nile virus IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,
13482,61386-9,Human papilloma virus 66 DNA [Presence] in Unspecified specimen by Probe and target amplification method,
13483,16941-7,Herbicide [Identifier] in Unspecified specimen,
13484,2712-8,Deprecated Oxygen saturation.calc from carbon dioxide.partial pressure,
13485,71988-0,VR-36 Physical functioning (PF) score - oblique method T-score,
13486,61816-5,How often did you have trouble starting things because of your fatigue in past 7 days [PROMIS],
13487,54769-5,Current toileting program or trial [MDSv3],
13488,38986-6,VA Compensation and Pension (C and P) examination spine,
13489,49328-8,Clavulanate IgE Ab [Units/volume] in Serum,
13490,492-9,Temocillin [Susceptibility] by Minimum inhibitory concentration (MIC),
13491,24385-7,Cardiolipin IgG Ab [Presence] in Serum by Immunoassay,
13492,60240-9,Common wasp recombinant (rVes v) 5 IgE Ab [Units/volume] in Serum,
13493,44469-5,Herpes simplex virus 1 Ab [Presence] in Body fluid,
13494,56074-8,Circumference Neck,
13495,29227-6,Salicylates [Mass/volume] in Body fluid,
13496,4071-7,Chloral hydrate [Mass/volume] in Blood,
13497,64683-6,Over the past 4W when you attempted sexual intercourse and/or how often were you able to penetrate - enter your partner [PhenX],
13498,74004-3,ABCB1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
13499,58774-1,Alternaria alternata recombinant (rAlt a) 1 IgE Ab [Units/volume] in Serum,
13500,27220-3,Histoplasma capsulatum mycelial phase Ab [Titer] in Cerebral spinal fluid by Complement fixation,
13501,56051-6,Hispanic or Latino,
13502,61122-8,CD8-CD57+ cells [#/volume] in Blood,
13503,52117-9,Bx Ab [Presence] in Serum or Plasma,
13504,46990-8,ASPA gene mutation analysis in Blood or Tissue by Molecular genetics method Narrative,
13505,63707-4,During the past 12 months and/or has there been water or dampness in your home from broken pipes and/or leaks and/or heavy rain and/or or floods [PhenX],
13506,25373-2,Choriogonadotropin.beta subunit free [Mass/volume] in Serum or Plasma,
13507,38389-3,Coxiella burnetii phase 2 Ab [Titer] in Serum,
13508,55892-4,Hypoxanthine phosphoribosyltransferase/Adenine phosphoribosyltransferase [Enzymatic activity ratio] in Amniotic fluid cells,
13509,70739-8,Functional Assessment of Cancer Therapy for Patients with lymphedema questionnaire - version 4 (FACT-B + 4) [FACIT],
13510,16134-9,Neisseria meningitidis [Presence] in Unspecified specimen by Organism specific culture,
13511,13238-1,Epstein Barr virus Ab [Units/volume] in Serum,
13512,74356-7,Bacteria identified in Ventriculoperitoneal (VP) shunt by Culture,
13513,12564-1,Cortisol [Mass/volume] in Serum or Plasma --9th specimen post XXX challenge,
13514,15871-7,Nectarine IgE Ab RAST class [Presence] in Serum,
13515,42352-5,Ceftazidime+Clavulanate [Susceptibility] by Gradient strip (E-test),
13516,70897-4,Additional concerns - FACT-B+4 [FACIT],
13517,16269-3,Urate crystals [Presence] in Stone by Infrared spectroscopy,
13518,33724-6,CAP cancer protocols Collection method Narrative,
13519,44460-4,Cladosporium herbarum Ab [Presence] in Serum by Immune diffusion (ID),
13520,47338-9,Streptococcus pneumoniae 22 IgG Ab [Ratio] in Serum --2nd specimen/1st specimen,
13521,23673-7,Bluetongue virus 13 Ab [Titer] in Serum by Neutralization test,
13522,65461-6,Have you experienced such highs in the past 12 months [PhenX],
13523,64909-5,I think that I will be contaminated with a serious disease [PhenX],
13524,56849-3,Cardiac rhythm monitoring (set),
13525,61249-9,Cladosporium herbarum IgE Ab [Ratio] in Serum,
13526,4222-6,Digoxin [Mass] of Dose,
13527,29134-4,Cylinder distance LM glasses lens - right,
13528,46910-6,Communicable/infectious condition function.knowledge Family [OMAHA],
13529,61091-5,Temazepam [Presence] in Gastric fluid,
13530,5707-5,Deprecated Opiates [Identifier] in Urine,
13531,718-7,Hemoglobin [Mass/volume] in Blood,
13532,20512-0,Turbidity of Cerebral spinal fluid Qualitative,
13533,70837-0,Functional Assessment of Incontinence Therapy - Urinary Questionnaire - version 4 (FAIT-U) [FACIT],
13534,32809-6,Fungus identified in Bronchial specimen by Fungus stain,
13535,40774-2,Histoplasma capsulatum IgG Ab [Titer] in Cerebral spinal fluid --2nd specimen,
13536,32821-1,Immunofixation [interpretation] for Body fluid,
13537,26688-2,Mercury/Creatinine [Mass Ratio] in 24 hour Urine,
13538,17612-3,Deprecated Streptococcus pneumoniae 1 Ab [Units/volume] in Serum --1st specimen,
13539,68859-8,Pediatric transplant hepatology Note,
13540,13719-0,Carnitine/Creatinine [Mass Ratio] in Urine,
13541,7746-1,Trimellitic anhydride (TMA) IgE Ab [Units/volume] in Serum,
13542,1066-0,I NOS Ag [Presence] on Red Blood Cells,
13543,51532-0,Casein IgG Ab [Presence] in Serum,
13544,7262-9,Cranberry IgE Ab [Units/volume] in Serum,
13545,42607-2,Prolactin monomeric [Mass/volume] in Serum or Plasma,
13546,73873-2,Androstenetriol [Moles/volume] in 24 hour Urine,
13547,12827-2,Prolactin [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,
13548,44300-2,Arsenic.inorganic/Creatinine [Mass Ratio] in 24 hour Urine,
13549,53071-7,Carnitine [Moles/volume] in Cerebral spinal fluid,
13550,57993-8,Lepidoglyphus destructor IgE Ab [Ratio] in Serum,
13551,67853-2,Deprecated Plan of care,
13552,53007-1,PM-SCL extractable nuclear Ab [Presence] in Serum by Immunofluorescence,
13553,54448-6,NPM1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
13554,9312-0,Aminocaproate [Mass/volume] in Serum or Plasma,
13555,55494-9,Insulin [Moles/volume] in Serum or Plasma --5 minutes post dose glucose IV,
13556,26422-6,European house dust mite IgG4 Ab RAST class [Presence] in Serum,
13557,46208-5,Nursing notes,
13558,6648-1,Deprecated Cefpirome [Susceptibility] by Minimum inhibitory concentration (MIC),
13559,39957-6,Creatinine [Mass/volume] in Serum or Plasma --1 hour pre XXX challenge,
13560,21449-4,Black Pepper IgG Ab RAST class [Presence] in Serum,
13561,6599-5,Haemophilus influenzae B Ag [Presence] in Unspecified specimen by Immunofluorescence,
13562,24304-8,Coxsackievirus A7 Ab [Titer] in Serum --1st specimen,
13563,27106-4,Zinc [Presence] in Blood,
13564,42194-1,Deprecated CD4 cells/100 cells in Cerebral spinal fluid,
13565,70553-3,National Comprehensive Cancer Network - Lymphoma Symptom Index Questionnaire - 18 items (NCCN-FACT - FLymSI-18) [FACIT],
13566,70866-9,Rabies virus strain identified in Unspecified specimen by Immunofluorescence,
13567,5660-6,Gold [Mass/volume] in Urine,
13568,21724-0,SERPINA1 gene p.E264V [Presence] in Blood or Tissue by Molecular genetics method,
13569,1519-8,Deprecated Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO,
13570,57616-5,5-Alpha tetrahydrocortisol [Mass/time] in 24 hour Urine --2 days post high dose dexamethasone,
13571,20049-3,Peak inspiratory flow Respiratory system airway opening --at 2.5 liter per second on ventilator,
13572,73807-0,B cell+T cell crossmatch.autologous [interpretation] Qualitative by Complement dependent cytotoxicity,
13573,69846-4,2-Hydroxyisobutyrate [Moles/volume] in Cerebral spinal fluid,
13574,65407-9,Hands resting in lap for 15 seconds [PhenX],
13575,9424-3,Intercellular substance Ab [Titer] in Serum,
13576,14778-5,Heptacarboxylate [Moles/volume] in Urine,
13577,15455-9,Bluetongue virus Ab [Presence] in Serum by Immune diffusion (ID),
